"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","lon","lat","project"
"50037","433","Leaf shaped sword","IVa","Museum of the Royal Institution, Swansea,25","Wales,Glamorganshire","Glamorganshire Canal, Cardiff, Cardiff, Cardiff CF14, UK","51.5201498","-3.241842399999996","","None","None","None","602","blade 44.5; hilt 47, 33","","652.05","","","blade 6","","","","","Arch. Journal, 1846, p. 67 illud. says ""discovered in Glamorganshire"",Camdens Brittania, Vol. III, plate 34","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/22522745233","https://farm1.staticflickr.com/632/22522745233_af7d46a1cd_m.jpg","superuser",-3.2418,51.5201,"SwordsPt2"
"50038","580","Socketed Sword","IVd","British Museum,78 11 1 206,presented by Maj. Gen. Meyrick, 1878,formerly in Meyrick Collection.","Wales,Glamorganshire,Llansannor (2 miles N. of Cowbridge).,""NewForest"" (New Forest is now represented by 'New Forest House' & Mynydd y Forest)","Llansannor, Cowbridge, Vale of Glamorgan CF71, Royaume-Uni","51.488487","-3.44829100000004","","None","None","None","368","hilt 43; 22,blade 29","","354.37","dark green","smooth","hilt 16; blade 6","","","","double grooved blade. Top of socket broken off. 2 rivets hiles, bottom one on front, broken.","Evan's p.205,""Meyrick's"" Anc. Armour"" pl. XLVII, fig. 11.,""Prehist. & Roman Wales"", p. 160, fig. 51, ii,Arch. Ael. 4 Ser. XI (1935) p. 280, pl. XXVII, 3,P.P.S. XIII (1947) p.175","Inacc.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/22522744853","https://farm1.staticflickr.com/750/22522744853_ee2e1d4f87_m.jpg","superuser",-3.4483,51.4885,"SwordsPt2"
"50039","580","2 Sword Fragments","Frags.","National Museum of Wales. 15.277/3,donor Miss Emily Talbot","Wales,Glamorgan,Penard,Langrove","Langrove, Southgate, Swansea, Swansea SA3, Royaume-Uni","51.5902699","-4.07338900000002","","None","None","None","about 329","29; 31; 30; 16.5","","240.97","darkish green polished patina & a few spots of light green corrosion & some a rusty green colour.","smooth","5","","","One of a hoard.","The bevel on the edges is very slight. the point end is rather bent & the widest part of the other piece is slightly bent.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/22725579358","https://farm1.staticflickr.com/691/22725579358_c801b8f3ec_m.jpg","superuser",-4.0734,51.5903,"SwordsPt2"
"50040","580","2 Leaf shaped Sword Fragments","C","National Museum of Wales. 15.277/4,donor Miss Emily Talbot","Wales,Glamorgan,Penard,Langrove","Langrove, Southgate, Swansea, Swansea SA3, Royaume-Uni","51.5902699","-4.07338900000002","","None","None","None","144; 139","hilt 20; 46,blade 33; 42.5","","141.75; 120.9","medium green polished patina","smooth, slightly pitted all over, with a little earth corroded on.","blade 7.25; 7.5","","","One of a hoard.","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/22522744333","https://farm6.staticflickr.com/5748/22522744333_aa542f2a50_m.jpg","superuser",-4.0734,51.5903,"SwordsPt2"
"50041","580","Sword Fragment","C","National Museum of Wales. 15.277/5,donor Miss Emily Talbot","Wales,Glamorgan,Penard,Langrove","Langrove, Southgate, Swansea, Swansea SA3, Royaume-Uni","51.5902699","-4.07338900000002","","None","None","None","126","blade 32,hilt 42; 25","","120","polished emerald green patina but a lot of this is lost through 'pitting' all over the surface.","smooth but pitted.","blade 6.5","","","One of a hoard.","The bevel on the edges is very slight.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/22522744033","https://farm6.staticflickr.com/5635/22522744033_b52fb89cef_m.jpg","superuser",-4.0734,51.5903,"SwordsPt2"
"50042","580","Leaf shaped Sword","IVa","National Museum of Wales, Cardiff.,01.115","Wales,Glamorgan,Penarth","Penarth, Vale of Glamorgan, Royaume-Uni","51.438798","-3.1735069999999723","","None","None","None","71","blade 30; hilt plate 48","","","dead green","smooth, gone in parts at base.","7","","","Found with a socketed celt & a jet of scrap bronze.","In fair condition.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/23155534781","https://farm6.staticflickr.com/5667/23155534781_8f4d442c26_m.jpg","superuser",-3.1735,51.4388,"SwordsPt2"
"50043","580","Leaf-shaped Bronze Sword","IVa","Privately owned,The Duke of Buccleuch.,Boughton Estates Ltd, Tytup Hall, Dalton-in-Furness, Lancs.","Lancashire,Dalton-in-Furness,Butts Back Quarry,Cist containing human bones, bones of a horse (?), bronze leaf-shaped sword and leaf-shaped spearhead. Found April 1874. Destroyed by quarrying.","Butts Beck, Dalton-in-Furness, Cumbria LA15 8EP, Royaume-Uni","54.1615609","-3.1770989999999983","","None","4","1874","62.5475","4.28625 (greatest width of blade)","","708.738","","","0.635 at widest part of blade","Length: 24 5/8 in,Width: 1 11/16 in,Thickness: 1/4 in,Weight 1 lb 9 oz","","Bronze leaf-shaped spear-head, human bones and bones of a horse (?) in a cist.","The sword was broken when straightening it at the time of discovery. A wooden plate with two rivets has been attached to fix it together. There are two rivet holes each side of the V shaped shoulder (two rivets still in position) and 2 in the hilt with what appears to be the start of a third between them. The hilt is not flanged. The edge of the point is somewhat damaged. Mainly in good condition with a few spots of bronze disease.","See Transactions Cumb. & West [...]. and Arch. Soc. (O.S.) XV, 164-5; also (N.S) LXV, 47-52,Proc. Barrow Naturalists Field Club. vol. XVII, p. 213.","Compiler Clare [...] 16. 1. 62.,The bones were thrown away before being properly examined,,Approw. map reference 34/232747.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/22725478107","https://farm1.staticflickr.com/717/22725478107_15ba1ee4e7_m.jpg","superuser",-3.1771,54.1616,"SwordsPt2"
"50044","580","Sword,Type B,hilt fragment","IIb","Mr. Hugh P. Hornby, St. Michael-on-Wyre & Mr. W.J. Miller (landlord of farm), Birmingham.","Lancs,near Garstang,Copsthorpe Farm,near Cogie Hill, Winmarleigh, 1917.","Winmarleigh, Preston, Lancashire PR3, Royaume-Uni","53.925171","-2.808300000000031","","None","None","1917","70","3.8 max.","","","","","","","","","Six circular rivet holes down centre of hilt, & three in each wing; 5 rivets in position, strong flanges.","Part figd. in Antiq. Journ. XIV, 179.,[...] Lancs & Cheschire Antiq. Soc. XXXVI, 104.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/22823784230","https://farm6.staticflickr.com/5788/22823784230_5887251c0b_m.jpg","superuser",-2.8083,53.9252,"SwordsPt2"
"50045","580","Leaf shaped Sword (portion),Shoulder fragment","IVa","Leicester Museum.,lent by Mrs. Hocart.","England,Leicestershire,Welby,Probably from Gravel Hole Field, found by a farmer digging for gravel.,1895","Welby, Melton Mowbray, Leicestershire LE14, Royaume-Uni","52.7827388","-0.9110425000000077","","None","None","1895","133","hilt plate 43","","","some green patina on blade, the rest of blade is golden brown. Handle has little golden brown; part is worn off or cleaned off.","","","","","","This had 3 rivets at each side the 3rd. rivet is broken) & belongs to the upper portioni, nearest the handle, which with the guard, was in one piece in this this type & quite plain.","","The hoard was taken to a foundry in Melton Mowbray whence a part was rescued by W.S. Barnes, Mrs.Hocart was his daughter.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/23155533981","https://farm6.staticflickr.com/5646/23155533981_708f16374d_m.jpg","superuser",-0.911,52.7827,"SwordsPt2"
"50046","580","Leaf shaped Sword","VI","City & County Museum, Lincoln.,for many years this specimen was at the Municipal Technical School, but was transferred to the Museum in May 1909.,Ref. No. 291.09.,45","England,Lincolnshier,Billinghay,1852.","Billinghay, Lincoln, Lincolnshire LN4, Royaume-Uni","53.080883","-0.2811110000000099","","None","None","1852","490","hilt 61; blade 39","","680","green patina badly corroded","","8","","","","Point & hilt are missing & the edge are corroded away","Trollope's ""Sleaford"" p. 29.,Evans ""Bronze Implements""","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/23129978482","https://farm1.staticflickr.com/639/23129978482_afe098e22f_m.jpg","superuser",-0.2811,53.0809,"SwordsPt2"
